"file" "checksum" "filesize" "algorithm"
"CAN_LC_2010_CAL.tif" "d7016c43101e4a22" "1625703086" "xxhash64"
"Canada_2005_metadata_v1_4.doc" "2c7d726e8c5bf598" "84480" "xxhash64"
"CanadaLandcover2010.zip" "6167f1280f4b45ba" "1332065648" "xxhash64"
"HWL_BCR6.tif" "57fecdfc96375650" "419711854" "xxhash64"
"HWL_BCR6.zip" "c4d760632fbbfa47" "493083177" "xxhash64"
"LandCoverOfCanada2005_V1_4.zip" "e100c037a257e377" "47185238" "xxhash64"
"LC_2005_Legend_39Classes.pdf" "0b764e8f30536b7c" "1407110" "xxhash64"
"LCC2005_V1_4a.tif" "b50567fc83bcc5de" "437916202" "xxhash64"
"RTM.tif" "0b43f748093e6445" "1912969" "xxhash64"
"staticLayers_bcr6_2011rasters250_V3.grd" "6453b631dde591be" "1104" "xxhash64"
"staticLayers_bcr6_2011rasters250_V3.gri" "f35d2b4d1e5d3413" "5272828000" "xxhash64"
"staticLayers_bcr6_2011rasters250_V3.zip" "834305d15f3fa02b" "413031274" "xxhash64"
